SDR	7.3.15
10/09/2013 02:50:00	0.4	0.2	1.5	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									312	7	0	0	0	0	0	0	16.8	0.0	16.7	16.7	0.0	0.0	0.0	0.0	996.7	0.1	997.1	996.2	83.0	0.3	83.8	82.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 03:00:00	0.7	0.5	1.9	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									301	3	0	0	0	0	0	0	16.8	0.0	16.7	16.7	0.0	0.0	0.0	0.0	996.7	0.1	997.1	996.2	83.3	0.3	83.8	82.8	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 03:10:00	0.6	0.3	1.2	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									309	5	0	0	0	0	0	0	16.7	0.0	16.7	16.7	0.0	0.0	0.0	0.0	996.5	0.2	997.1	996.2	83.5	0.3	84.2	83.1	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 03:20:00	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									312	0	0	0	0	0	0	0	16.7	0.1	16.7	16.7	0.0	0.0	0.0	0.0	996.5	0.2	997.1	996.2	83.6	0.3	84.2	83.1	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 03:30:00	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									359	45	0	0	0	0	0	0	16.6	0.1	16.7	16.5	0.0	0.0	0.0	0.0	996.5	0.2	997.1	996.2	83.8	0.3	84.4	83.3	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 03:40:00	0.7	0.4	1.5	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									350	29	0	0	0	0	0	0	16.5	0.0	16.7	16.5	0.0	0.0	0.0	0.0	996.2	0.0	997.1	996.2	84.2	0.3	84.9	83.5	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 03:50:00	0.8	0.5	2.3	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									315	12	0	0	0	0	0	0	16.5	0.0	16.7	16.5	0.0	0.0	0.0	0.0	996.2	0.0	997.1	996.2	84.3	0.3	84.9	83.8	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 04:00:00	1.4	0.5	2.3	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									319	17	0	0	0	0	0	0	16.5	0.1	16.5	16.2	0.0	0.0	0.0	0.0	996.2	0.0	997.1	996.2	84.4	0.3	85.1	84.0	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 04:10:00	1.0	0.5	2.3	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									325	12	0	0	0	0	0	0	16.4	0.1	16.5	16.2	0.0	0.0	0.0	0.0	996.2	0.1	997.1	996.2	84.4	0.3	85.1	84.0	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 04:20:00	1.0	0.5	2.3	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									313	11	0	0	0	0	0	0	16.3	0.0	16.5	16.2	0.0	0.0	0.0	0.0	996.2	0.1	997.1	996.2	84.6	0.2	85.4	84.2	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 04:30:00	1.1	0.5	1.9	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									323	12	0	0	0	0	0	0	16.3	0.0	16.5	16.2	0.0	0.0	0.0	0.0	996.2	0.1	997.1	996.2	84.8	0.3	85.4	84.2	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 04:40:00	1.6	0.5	2.7	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									329	9	0	0	0	0	0	0	16.2	0.0	16.5	16.2	0.0	0.0	0.0	0.0	996.2	0.1	997.1	996.2	84.7	0.3	85.4	84.2	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 04:50:00	1.3	0.6	2.7	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									326	15	0	0	0	0	0	0	16.2	0.0	16.5	16.2	0.0	0.0	0.0	0.0	996.2	0.1	997.1	996.2	84.8	0.3	85.4	84.2	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 05:00:00	1.4	0.4	2.3	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									318	10	0	0	0	0	0	0	16.2	0.0	16.2	16.2	0.0	0.0	0.0	0.0	996.2	0.2	997.1	996.2	85.1	0.3	85.8	84.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 05:10:00	1.4	0.6	2.7	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									327	11	0	0	0	0	0	0	16.1	0.0	16.2	16.2	0.0	0.0	0.0	0.0	996.2	0.2	997.1	996.2	85.2	0.2	85.8	84.7	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 05:20:00	1.3	0.6	2.3	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									333	13	0	0	0	0	0	0	16.1	0.0	16.2	15.9	0.0	0.0	0.0	0.0	996.2	0.2	997.1	996.2	85.2	0.3	85.8	84.7	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
10/09/2013 05:30:00	1.0	0.5	2.3	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.00	0.00	0.00	0.00									323	9	0	0	0	0	0	0	16.1	0.0	16.2	15.9	0.0	0.0	0.0	0.0	996.2	0.2	997.1	996.2	85.2	0.3	85.8	84.9	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4	0.4	0.0	0.4	0.4
